id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
571961,3DRender,2021-05-27 21:07:05,2021-05-27 21:08:02,47,6,1,2,4F424F4D-58D8-01D7-36C2-049226DA3D29,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds667,253,1
645479,3DRender,2021-06-10 14:29:25,2021-06-10 14:32:43,100,95,1,3,4F424F4D-58D8-01D7-3A6D-00D861156A81,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,156,2
2293336,3DRender,2022-04-02 22:56:32,2022-04-03 00:39:14,6156,1,1,5,4F424F4D-58D8-01D7-386F-2CF05D7ECC63,44415251-58D8-01D7-386F-000000000000,584f4251-3000-0000-2000-000000000001,AMD Ryzen 7 3700X 8-Core Processor,8,Completed,ds1,156,3
980213,3DRender,2021-08-09 09:42:54,2021-08-09 09:53:00,604,1,1,1,4F424F4D-58D8-00D7-B137-00D8611569FF,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,156,2
2449532,Risk,2022-04-26 21:32:50,2022-04-26 21:35:58,0,0,179,1,4F424F4D-58D8-01D7-35BD-00D86115696E,44415251-58D8-01D7-35BD-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds934,39,2
3008715,3DRender,2022-07-07 14:10:09,2022-07-07 14:10:41,30,1,1,1,4F424F4D-58D8-01D7-365F-00D86157850C,44415251-58D8-01D7-365F-000000000000,584f4251-4000-0000-1001-000000000006,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds2,204,3
201669,3DRender,2021-03-27 11:15:20,2021-03-27 11:16:43,3,73,5,1,4F424F4D-58D8-00D7-B137-00D861156DF3,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds1,156,0
495745,3DRender,2021-05-14 21:37:59,2021-05-14 21:43:20,263,56,1,2,4F424F4D-58D8-00D7-B1BB-00D861C8FB69,44415251-58D8-00D7-B1BB-000000000000,584f4251-2000-0000-0001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds5,84,1
105267,3DRender,2021-02-23 13:19:51,2021-02-23 13:50:11,1738,76,3,0,4F424F4D-ADF0-084E-AC68-00D8611555DC,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds2,204,1
1691657,3DRender,2022-01-09 14:58:23,2022-01-09 14:59:05,39,1,1,2,4F424F4D-58D8-01D7-3B03-00D861C8FAAD,44415251-58D8-01D7-3B03-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds84,147,3
