id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
1051792,Risk,2021-08-28 09:01:40,2021-08-28 09:04:43,0,0,180,1,4F424F4D-58D8-00D7-B158-00D86115559B,44415251-58D8-00D7-B158-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds15,418,6
363594,Risk,2021-04-30 14:34:36,2021-04-30 14:37:40,0,0,180,1,4F424F4D-58D8-01D7-37A3-00D8611555AC,44415251-58D8-01D7-37A3-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds4,142,1
2257182,3DRender,2022-03-23 20:52:46,2022-03-23 21:19:39,186,67,260,1098,4F424F4D-58D8-01D7-3B03-00D861C8FC38,44415251-58D8-01D7-3B03-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds5,576,0
3567157,3DRender,2022-10-07 16:31:39,2022-10-07 16:32:18,36,1,1,2,4F424F4D-58D8-01D7-3A91-00D8617B0B3F,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds25,717,5
3606614,Risk,2022-10-15 20:10:09,2022-10-15 20:26:07,796,155,1,0,4F424F4D-ADF0-084E-AC68-00D861156ABF,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds379,938,5
1227477,3DRender,2021-09-29 15:23:20,2021-09-29 15:24:55,93,1,1,1,4F424F4D-58D8-00D7-B137-00D861156A94,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds512,508,5
573291,3DRender,2021-05-28 06:22:22,2021-05-28 06:24:32,0,121,1,0,4F424F4D-ADF0-084E-ABEE-00D8619C73AA,44415251-ADF0-084E-ABEE-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds2,438,7
39882,Risk,2021-02-09 20:17:16,2021-02-10 00:01:30,13370,75,1,0,4F424F4D-58D8-01D7-3653-00D861155701,44415251-58D8-01D7-3653-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds2,438,4
1108498,3DRender,2021-09-07 10:23:45,2021-09-08 22:18:50,129234,65,1,0,4F424F4D-58D8-01D7-37F4-00D8617B5E1A,44415251-58D8-01D7-37F4-000000000000,584f4251-2001-0000-0000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds1,681,5
3625179,Q-worker,2022-10-17 14:54:18,2022-10-17 14:54:24,1,1,1,0,4F424F4D-58D8-00D7-A615-00D8619C741F,44415251-58D8-00D7-A615-000000000000,584f4251-4000-0000-1000-000000000015,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds133,643,1
420140,3DRender,2021-05-06 03:29:07,2021-05-06 03:30:14,12,53,1,3,4F424F4D-58D8-00D7-B128-00D861C1E9B0,44415251-58D8-00D7-B128-000000000000,584f4251-2000-0000-0001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,6
708467,3DRender,2021-06-22 08:41:16,2021-06-22 08:41:37,19,1,1,1,4F424F4D-58D8-01D7-3AF1-00D861C8FBF2,44415251-58D8-01D7-3AF1-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds1,681,5
